"annotation_id","annotator","comment","created_at","id","lead_time","rating","taxonomy","updated_at","Вопрос решен","Нравится качество выполнения заявки","Нравится качество работы сотрудников","Нравится скорость отработки заявок","Понравилось выполнение заявки"
12,"1","спасибо 
","2025-05-12T06:51:44.435656Z",3657819,4.07,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T06:51:44.435673Z","","","","",""
13,"1","Спасибо ","2025-05-12T06:51:51.755780Z",3691620,4.197,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T06:51:51.755796Z","","","","",""
14,"1","Решили мой вопрос. Спасибо! ","2025-05-12T06:51:58.501550Z",3695420,5.583,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]","2025-05-12T06:51:58.501576Z","","","","",""
15,"1","Очень радует работа УК. Оперативно! Спасибо!","2025-05-12T06:52:08.670950Z",3716702,9.051,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T06:52:08.670966Z","","","","",""
16,"1","Все исправили ","2025-05-12T06:52:15.063000Z",3726842,5.169,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T06:52:15.063018Z","","","","",""
17,"1","спасибо за оперативную работу ","2025-05-12T06:52:25.283194Z",3745025,8.164,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T06:52:25.283212Z","","","","",""
18,"1","Выполнили отлично , обработка заявки была слишком дорогой ","2025-05-12T07:04:43.593345Z",3749719,737.226,5,"[{""taxonomy"":[[""Вопрос решен""],[""Не понравилось качество""]]}]","2025-05-12T07:04:43.593367Z","","","","",""
19,"1","спасибо большое! теперь не скрипят ","2025-05-12T07:06:54.244589Z",3751364,40.187,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:06:54.244616Z","","","","",""
20,"1","спасибо","2025-05-12T07:06:59.209703Z",3766183,3.65,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:06:59.209721Z","","","","",""
21,"1","Спасибо!","2025-05-12T07:07:03.992792Z",3770102,3.381,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:07:03.992809Z","","","","",""
22,"1","Норм","2025-05-12T07:07:09.679285Z",3773834,3.934,1,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:07:09.679305Z","","","","",""
23,"1","спасибо. все прошло очень хорошо","2025-05-12T07:07:25.970287Z",3791959,14.81,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:07:25.970305Z","","","","",""
24,"1","Спасибо, пришли все поменяли за 10 минут ","2025-05-12T07:07:33.666030Z",3797804,6.314,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:07:33.666052Z","","","","",""
25,"1","Все очень оперативно ","2025-05-12T07:07:42.382681Z",3799741,6.676,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:07:42.382699Z","","","","",""
26,"1","Огромное спасибо.","2025-05-12T07:07:47.127123Z",3802024,2.78,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:07:47.127140Z","","","","",""
27,"1","Все отлично! Спасибо.","2025-05-12T07:07:50.800709Z",3805876,2.718,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:07:50.800725Z","","","","",""
28,"1","Хороший мастер","2025-05-12T07:07:57.896642Z",3812092,5.353,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:07:57.896659Z","","","","",""
29,"1","Спасибо за оперативность! 
","2025-05-12T07:08:10.610562Z",3815412,11.489,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:08:10.610579Z","","","","",""
30,"1","выполнена

","2025-05-12T07:08:14.238249Z",3820641,2.583,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:08:14.238277Z","","","","",""
31,"1","Все супер, Мастер 👍","2025-05-12T07:08:20.070457Z",3828569,4.732,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:08:20.070475Z","","","","",""
32,"1","Благодарю ребят.","2025-05-12T07:08:26.688296Z",3829748,4.508,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:08:26.688320Z","","","","",""
33,"1","Спасибо большое ","2025-05-12T07:08:30.809542Z",3831509,2.767,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:08:30.809566Z","","","","",""
34,"1","спасибо","2025-05-12T07:08:35.736065Z",3831883,3.98,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:08:35.736085Z","","","","",""
35,"1","Спасибо!","2025-05-12T07:08:39.897439Z",3832952,3.151,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:08:39.897456Z","","","","",""
36,"1","Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!","2025-05-12T07:08:54.745424Z",3834081,13.699,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:08:54.745442Z","","","","",""
37,"1","Благодарю за проделанную работу! ","2025-05-12T07:09:03.484558Z",3835748,7.45,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:09:03.484580Z","","","","",""
38,"1","надеюсь и причину устранили, а то после первого дождя будет тоже самое..","2025-05-12T07:09:24.509576Z",3835874,18.94,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:09:24.509598Z","","","","",""
39,"1","Спасибо, всё чётко.","2025-05-12T07:09:29.826708Z",3839647,3.948,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:09:29.826725Z","","","","",""
40,"1","Благодарю ","2025-05-12T07:09:34.666424Z",3840353,3.612,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:09:34.666441Z","","","","",""
41,"1","Спасибо Сергей ! ))))","2025-05-12T07:09:43.427577Z",3841026,6.906,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:09:43.427598Z","","","","",""
42,"1","Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)","2025-05-12T07:09:52.577951Z",3842440,7.188,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:09:52.577976Z","","","","",""
43,"1","хоть что то сделали 👍👏","2025-05-12T07:09:57.137981Z",3842790,3.092,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:09:57.138000Z","","","","",""
44,"1","спасибо)","2025-05-12T07:10:01.262345Z",3843760,3.034,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:10:01.262363Z","","","","",""
45,"1","профессионально, быстро. очень приятный мастер","2025-05-12T07:10:11.570738Z",3844645,9.037,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:10:11.570755Z","","","","",""
46,"1","спасибо! ","2025-05-12T07:10:15.721421Z",3846820,3.115,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:10:15.721440Z","","","","",""
47,"1","Спасибо, вопрос решили, всё стало нормально ","2025-05-12T07:10:22.282235Z",3846831,5.547,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:10:22.282252Z","","","","",""
48,"1","Татьяна Владимировна большое вам спасибо!!!! ","2025-05-12T07:10:29.586406Z",3848236,5.507,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:10:29.586424Z","","","","",""
49,"1","спасибо! ","2025-05-12T07:10:34.373850Z",3850021,3.433,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:10:34.373868Z","","","","",""
50,"1","спасибо за  быстрый ответ! 


","2025-05-12T07:10:47.571090Z",3850118,12.177,1,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]","2025-05-12T07:10:47.571108Z","","","","",""
51,"1","Огромное спасибо вам от всего подъезда!!!   )))))","2025-05-12T07:10:54.595542Z",3852179,4.853,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-12T07:10:54.595563Z","","","","",""
52,"1","спасибо!)","2025-05-12T07:10:59.558051Z",3852743,3.694,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:10:59.558070Z","","","","",""
53,"1","спасибо ","2025-05-12T07:11:06.832255Z",3852975,6.214,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:11:06.832274Z","","","","",""
54,"1","Все отлично ","2025-05-12T07:11:12.483470Z",3854073,4.424,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:11:12.483489Z","","","","",""
55,"1","свершилось","2025-05-12T07:11:17.035460Z",3856028,2.984,1,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:11:17.035477Z","","","","",""
56,"1","Спасибо мастеру ","2025-05-12T07:11:24.496819Z",3859764,6.388,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:11:24.496842Z","","","","",""
57,"1","спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝","2025-05-12T07:11:34.801630Z",3859780,8.693,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:11:34.801646Z","","","","",""
58,"1","Среагировали быстро, благодарю ","2025-05-12T07:11:40.626759Z",3860248,4.833,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:11:40.626776Z","","","","",""
59,"1","Спасибо за оперативность!","2025-05-12T07:11:46.437674Z",3860900,4.774,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:11:46.437692Z","","","","",""
60,"1","Отличный мастер!","2025-05-12T07:11:51.446396Z",3862448,3.326,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:11:51.446415Z","","","","",""
61,"1","Спасибо! По крайней мере, по ночам пока шума не слышно.","2025-05-12T07:12:00.515542Z",3863351,7.332,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:12:00.515584Z","","","","",""
62,"1","Быстро ","2025-05-12T07:12:05.624538Z",3863609,4.111,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:12:05.624561Z","","","","",""
63,"1","Спасибо за своевременное выполнение заявки...","2025-05-12T07:12:12.064097Z",3866829,5.083,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:12:12.064123Z","","","","",""
64,"1","все сделали быстро. спасибо ","2025-05-12T07:12:18.295249Z",3866867,3.732,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:12:18.295266Z","","","","",""
65,"1","всё отлично 👍","2025-05-12T07:12:22.000327Z",3868883,2.765,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:12:22.000345Z","","","","",""
66,"1","Спасибо ","2025-05-12T07:12:26.478244Z",3871379,3.499,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:12:26.478261Z","","","","",""
67,"1","Большое спасибо Александру,за оперативность и профессионализм ","2025-05-12T07:12:36.116170Z",3872124,8.557,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]","2025-05-12T07:12:36.116204Z","","","","",""
68,"1","благодарю ","2025-05-12T07:12:40.322372Z",3872129,3.336,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:12:40.322389Z","","","","",""
69,"1","оперативно и качественно. спасибо ","2025-05-12T07:12:45.829912Z",3873692,4.101,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]","2025-05-12T07:12:45.829930Z","","","","",""
70,"1","Спасибо!","2025-05-12T07:12:50.007924Z",3874941,2.436,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:12:50.007941Z","","","","",""
71,"1","благодарю, всего доброго!","2025-05-12T07:12:55.672405Z",3875262,4.577,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:12:55.672421Z","","","","",""
72,"1","спасибо","2025-05-12T07:12:59.568245Z",3876790,2.911,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:12:59.568264Z","","","","",""
73,"1","Спасибо ","2025-05-12T07:13:04.127730Z",3876998,3.458,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:13:04.127767Z","","","","",""
74,"1","Спасибо большое! ","2025-05-12T07:13:09.704802Z",3877186,4.439,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:13:09.704822Z","","","","",""
75,"1","Спасибо!","2025-05-12T07:13:14.082638Z",3877315,3.17,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:13:14.082655Z","","","","",""
76,"1","К мастеру вопросов нет.  ","2025-05-12T07:13:20.001803Z",3877334,3.884,3,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:13:20.001820Z","","","","",""
77,"1","Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!","2025-05-12T07:13:26.797606Z",3877901,5.563,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:13:26.797623Z","","","","",""
78,"1","вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ","2025-05-12T07:13:34.201663Z",3878088,6.375,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:13:34.201681Z","","","","",""
79,"1","спасибо большое! надолго ли🙄","2025-05-12T07:13:40.867519Z",3878555,5.537,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:13:40.867535Z","","","","",""
80,"1","Огромное спасибо! ","2025-05-12T07:13:45.197397Z",3878808,2.632,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:13:45.197427Z","","","","",""
81,"1","Всё очень четко организовано! Большое спасибо за работу!","2025-05-12T07:14:24.911278Z",3879856,25.514,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]","2025-05-12T07:14:24.911296Z","","","","",""
82,"1","Спасибо Вам большое и за дверь и за номера квартир!","2025-05-12T07:14:32.556005Z",3880345,6.252,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:14:32.556025Z","","","","",""
83,"1","снимаю звезду за первую отписку без выполнения работ","2025-05-12T07:15:05.540829Z",3880717,31.943,3,"[{""taxonomy"":[[""Вопрос решен""],[""Не понравилось качество""]]}]","2025-05-12T07:15:05.540846Z","","","","",""
84,"1","В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ","2025-05-12T07:15:13.980738Z",3881004,7.416,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:15:13.980755Z","","","","",""
85,"1","Спасибо!","2025-05-12T07:15:19.254784Z",3881432,3.136,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:15:19.254803Z","","","","",""
86,"1","Спасибо! Все заработало ","2025-05-12T07:15:24.973506Z",3881460,4.628,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]","2025-05-12T07:15:24.973524Z","","","","",""
87,"1","спасибо, решили мой вопрос на месте в офисе ","2025-05-12T07:15:32.518482Z",3881636,6.601,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]","2025-05-12T07:15:32.518498Z","","","","",""
88,"1","Спасибо больше Ольге Птушкине, за проделанную работу! ","2025-05-12T07:15:38.676272Z",3882840,4.999,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:15:38.676290Z","","","","",""
89,"1","Спасибо ","2025-05-12T07:15:42.908872Z",3883049,2.367,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:15:42.908902Z","","","","",""
90,"1","всё сделали хорошо, починили вовремя. наверное, молодцы.","2025-05-12T07:15:50.671635Z",3883200,6.613,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:15:50.671655Z","","","","",""
91,"1","Спасибо","2025-05-12T07:15:53.860436Z",3883457,2.331,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:15:53.860454Z","","","","",""
92,"1","Супер! Спасибо!","2025-05-12T07:15:57.312837Z",3883549,2.31,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:15:57.312858Z","","","","",""
93,"1","Отлично! Все выполнили как и обещали! ","2025-05-12T07:16:01.042995Z",3883658,2.786,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:16:01.043012Z","","","","",""
94,"1","Очень оперативно. Спасибо большое ","2025-05-12T07:16:09.116282Z",3883736,6.406,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]","2025-05-12T07:16:09.116299Z","","","","",""
95,"1","Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.","2025-05-12T07:16:21.041635Z",3883745,11.025,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""],[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:16:21.041652Z","","","","",""
96,"1","Спасибо","2025-05-12T07:16:24.775711Z",3883823,2.931,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:16:24.775731Z","","","","",""
97,"1","спасибо","2025-05-12T07:16:28.803523Z",3884514,3.04,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:16:28.803540Z","","","","",""
98,"1","Спасибо ","2025-05-12T07:16:33.105449Z",3884705,3.191,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:16:33.105466Z","","","","",""
99,"1","Умело подкрутили редукторы давления. Молодец!","2025-05-12T07:16:41.020424Z",3884964,6.734,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:16:41.020454Z","","","","",""
100,"1","все хорошо,дверь практически бесшумно закрывается","2025-05-12T07:16:47.750673Z",3885089,4.69,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:16:47.750702Z","","","","",""
101,"1","Спасибо ","2025-05-12T07:16:51.581914Z",3885291,2.973,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:16:51.581932Z","","","","",""
102,"1","спасибо)","2025-05-12T07:16:55.167843Z",3885807,2.635,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:16:55.167861Z","","","","",""
103,"1","проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам","2025-05-12T07:17:06.150534Z",3886150,10.022,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:17:06.150550Z","","","","",""
104,"1","быстро, чётко, без проблем. одно слово - мастер! ","2025-05-12T07:17:12.731136Z",3886231,4.156,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:17:12.731154Z","","","","",""
105,"1","Работает. Спасибо!","2025-05-12T07:17:16.248759Z",3886721,2.472,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:17:16.248786Z","","","","",""
106,"1","сегодня ездил, все исправно работает, спасибо!","2025-05-12T07:17:24.215436Z",3886923,7.025,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]","2025-05-12T07:17:24.215453Z","","","","",""
107,"1","Спасибо большое, всё понятно.","2025-05-12T07:17:27.973664Z",3886937,2.721,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:17:27.973681Z","","","","",""
108,"1","Татьяна спасибо ❤️","2025-05-12T07:17:36.345588Z",3887002,7.4,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:17:36.345604Z","","","","",""
109,"1","На вопрос ответили. Крепления нельзя повесить в колясочной","2025-05-12T07:17:56.836833Z",3887203,14.481,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]","2025-05-12T07:17:56.836852Z","","","","",""
110,"1","Большое спасибо!","2025-05-12T07:18:00.637138Z",3887228,2.839,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:00.637155Z","","","","",""
111,"1","Лучший ","2025-05-12T07:18:05.805795Z",3887353,2.326,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:05.805812Z","","","","",""
112,"1","спасибо за оперативность ","2025-05-12T07:18:09.483960Z",3887358,2.637,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:18:09.483977Z","","","","",""
113,"1","спасибо ","2025-05-12T07:18:14.327055Z",3887389,2.915,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:14.327075Z","","","","",""
114,"1","спасибо за то что быстро отреагировали","2025-05-12T07:18:18.888572Z",3887392,3.234,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:18:18.888607Z","","","","",""
115,"1","Сервис на высоте, мастер - профессионал","2025-05-12T07:18:25.946190Z",3887422,5.808,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]","2025-05-12T07:18:25.946209Z","","","","",""
116,"1","спасибо","2025-05-12T07:18:29.734782Z",3887496,2.76,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:29.734807Z","","","","",""
117,"1","спасибо большое","2025-05-12T07:18:33.287631Z",3887525,2.658,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:33.287649Z","","","","",""
118,"1","ок ","2025-05-12T07:18:40.251117Z",3887606,6.061,1,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:40.251137Z","","","","",""
119,"1","Надолго ли(","2025-05-12T07:18:44.475184Z",3887614,3.196,2,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:44.475202Z","","","","",""
120,"1","Надолго ли(","2025-05-12T07:18:49.061971Z",3887616,3.365,2,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:49.061988Z","","","","",""
121,"1","Спасибо. Все работает","2025-05-12T07:18:52.556401Z",3887743,2.468,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:52.556422Z","","","","",""
122,"1","Спасибо большое!","2025-05-12T07:18:57.846393Z",3887791,3.907,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:18:57.846411Z","","","","",""
123,"1","Спасибо!","2025-05-12T07:19:03.109306Z",3887832,4.143,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:19:03.109331Z","","","","",""
124,"1","заявка выполнена, спасибо.","2025-05-12T07:19:06.956264Z",3887844,2.939,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:19:06.956298Z","","","","",""
125,"1","Дверь закрывается намного лучше.","2025-05-12T07:19:12.520811Z",3887922,4.507,5,"[{""taxonomy"":[[""Вопрос решен""]]}]","2025-05-12T07:19:12.520838Z","","","","",""
126,"1","Спасибо за быстрое реагирование!!!","2025-05-12T07:19:17.710188Z",3888009,3.523,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]","2025-05-12T07:19:17.710209Z","","","","",""
