annotation_id,annotator,comment,created_at,id,lead_time,rating,taxonomy,updated_at,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Не удовлетворён,Не понравилось качество,Не понравился результат
11,1,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,2025-05-12 09:51:28.873,3627490,38.391,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 09:51:28.873,,,,,,,,
12,1,"спасибо 
",2025-05-12 09:51:44.435,3657819,4.07,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 09:51:44.435,,,,,,,,
13,1,Спасибо ,2025-05-12 09:51:51.755,3691620,4.197,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 09:51:51.755,,,,,,,,
14,1,Решили мой вопрос. Спасибо! ,2025-05-12 09:51:58.501,3695420,5.583,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]",2025-05-12 09:51:58.501,,,,,,,,
15,1,Очень радует работа УК. Оперативно! Спасибо!,2025-05-12 09:52:08.670,3716702,9.051,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 09:52:08.670,,,,,,,,
16,1,Все исправили ,2025-05-12 09:52:15.063,3726842,5.169,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 09:52:15.063,,,,,,,,
17,1,спасибо за оперативную работу ,2025-05-12 09:52:25.283,3745025,8.164,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 09:52:25.283,,,,,,,,
18,1,"Выполнили отлично , обработка заявки была слишком дорогой ",2025-05-12 10:04:43.593,3749719,737.226,5,"[{""taxonomy"":[[""Вопрос решен""],[""Не понравилось качество""]]}]",2025-05-12 10:04:43.593,,,,,,,,
19,1,спасибо большое! теперь не скрипят ,2025-05-12 10:06:54.244,3751364,40.187,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:06:54.244,,,,,,,,
20,1,спасибо,2025-05-12 10:06:59.209,3766183,3.65,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:06:59.209,,,,,,,,
21,1,Спасибо!,2025-05-12 10:07:03.992,3770102,3.381,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:07:03.992,,,,,,,,
22,1,Норм,2025-05-12 10:07:09.679,3773834,3.934,1,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:07:09.679,,,,,,,,
23,1,спасибо. все прошло очень хорошо,2025-05-12 10:07:25.970,3791959,14.81,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:07:25.970,,,,,,,,
24,1,"Спасибо, пришли все поменяли за 10 минут ",2025-05-12 10:07:33.666,3797804,6.314,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:07:33.666,,,,,,,,
25,1,Все очень оперативно ,2025-05-12 10:07:42.382,3799741,6.676,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:07:42.382,,,,,,,,
26,1,Огромное спасибо.,2025-05-12 10:07:47.127,3802024,2.78,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:07:47.127,,,,,,,,
27,1,Все отлично! Спасибо.,2025-05-12 10:07:50.800,3805876,2.718,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:07:50.800,,,,,,,,
28,1,Хороший мастер,2025-05-12 10:07:57.896,3812092,5.353,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:07:57.896,,,,,,,,
29,1,"Спасибо за оперативность! 
",2025-05-12 10:08:10.610,3815412,11.489,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:08:10.610,,,,,,,,
30,1,"выполнена

",2025-05-12 10:08:14.238,3820641,2.583,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:08:14.238,,,,,,,,
31,1,"Все супер, Мастер 👍",2025-05-12 10:08:20.070,3828569,4.732,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:08:20.070,,,,,,,,
32,1,Благодарю ребят.,2025-05-12 10:08:26.688,3829748,4.508,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:08:26.688,,,,,,,,
33,1,Спасибо большое ,2025-05-12 10:08:30.809,3831509,2.767,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:08:30.809,,,,,,,,
34,1,спасибо,2025-05-12 10:08:35.736,3831883,3.98,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:08:35.736,,,,,,,,
35,1,Спасибо!,2025-05-12 10:08:39.897,3832952,3.151,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:08:39.897,,,,,,,,
36,1,"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",2025-05-12 10:08:54.745,3834081,13.699,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:08:54.745,,,,,,,,
37,1,Благодарю за проделанную работу! ,2025-05-12 10:09:03.484,3835748,7.45,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:09:03.484,,,,,,,,
38,1,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",2025-05-12 10:09:24.509,3835874,18.94,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:09:24.509,,,,,,,,
39,1,"Спасибо, всё чётко.",2025-05-12 10:09:29.826,3839647,3.948,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:09:29.826,,,,,,,,
40,1,Благодарю ,2025-05-12 10:09:34.666,3840353,3.612,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:09:34.666,,,,,,,,
41,1,Спасибо Сергей ! )))),2025-05-12 10:09:43.427,3841026,6.906,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:09:43.427,,,,,,,,
42,1,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",2025-05-12 10:09:52.577,3842440,7.188,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:09:52.577,,,,,,,,
43,1,хоть что то сделали 👍👏,2025-05-12 10:09:57.137,3842790,3.092,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:09:57.138,,,,,,,,
44,1,спасибо),2025-05-12 10:10:01.262,3843760,3.034,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:10:01.262,,,,,,,,
45,1,"профессионально, быстро. очень приятный мастер",2025-05-12 10:10:11.570,3844645,9.037,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:10:11.570,,,,,,,,
46,1,спасибо! ,2025-05-12 10:10:15.721,3846820,3.115,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:10:15.721,,,,,,,,
47,1,"Спасибо, вопрос решили, всё стало нормально ",2025-05-12 10:10:22.282,3846831,5.547,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:10:22.282,,,,,,,,
48,1,Татьяна Владимировна большое вам спасибо!!!! ,2025-05-12 10:10:29.586,3848236,5.507,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:10:29.586,,,,,,,,
49,1,спасибо! ,2025-05-12 10:10:34.373,3850021,3.433,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:10:34.373,,,,,,,,
50,1,"спасибо за  быстрый ответ! 


",2025-05-12 10:10:47.571,3850118,12.177,1,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]",2025-05-12 10:10:47.571,,,,,,,,
51,1,Огромное спасибо вам от всего подъезда!!!   ))))),2025-05-12 10:10:54.595,3852179,4.853,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]",2025-05-12 10:10:54.595,,,,,,,,
52,1,спасибо!),2025-05-12 10:10:59.558,3852743,3.694,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:10:59.558,,,,,,,,
53,1,спасибо ,2025-05-12 10:11:06.832,3852975,6.214,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:11:06.832,,,,,,,,
54,1,Все отлично ,2025-05-12 10:11:12.483,3854073,4.424,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:11:12.483,,,,,,,,
55,1,свершилось,2025-05-12 10:11:17.035,3856028,2.984,1,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:11:17.035,,,,,,,,
56,1,Спасибо мастеру ,2025-05-12 10:11:24.496,3859764,6.388,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:11:24.496,,,,,,,,
57,1,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",2025-05-12 10:11:34.801,3859780,8.693,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:11:34.801,,,,,,,,
58,1,"Среагировали быстро, благодарю ",2025-05-12 10:11:40.626,3860248,4.833,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:11:40.626,,,,,,,,
59,1,Спасибо за оперативность!,2025-05-12 10:11:46.437,3860900,4.774,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:11:46.437,,,,,,,,
60,1,Отличный мастер!,2025-05-12 10:11:51.446,3862448,3.326,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:11:51.446,,,,,,,,
61,1,"Спасибо! По крайней мере, по ночам пока шума не слышно.",2025-05-12 10:12:00.515,3863351,7.332,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:12:00.515,,,,,,,,
62,1,Быстро ,2025-05-12 10:12:05.624,3863609,4.111,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:12:05.624,,,,,,,,
63,1,Спасибо за своевременное выполнение заявки...,2025-05-12 10:12:12.064,3866829,5.083,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:12:12.064,,,,,,,,
64,1,все сделали быстро. спасибо ,2025-05-12 10:12:18.295,3866867,3.732,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:12:18.295,,,,,,,,
65,1,всё отлично 👍,2025-05-12 10:12:22.000,3868883,2.765,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:12:22.000,,,,,,,,
66,1,Спасибо ,2025-05-12 10:12:26.478,3871379,3.499,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:12:26.478,,,,,,,,
67,1,"Большое спасибо Александру,за оперативность и профессионализм ",2025-05-12 10:12:36.116,3872124,8.557,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]",2025-05-12 10:12:36.116,,,,,,,,
68,1,благодарю ,2025-05-12 10:12:40.322,3872129,3.336,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:12:40.322,,,,,,,,
69,1,оперативно и качественно. спасибо ,2025-05-12 10:12:45.829,3873692,4.101,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]",2025-05-12 10:12:45.829,,,,,,,,
70,1,Спасибо!,2025-05-12 10:12:50.007,3874941,2.436,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:12:50.007,,,,,,,,
71,1,"благодарю, всего доброго!",2025-05-12 10:12:55.672,3875262,4.577,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:12:55.672,,,,,,,,
72,1,спасибо,2025-05-12 10:12:59.568,3876790,2.911,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:12:59.568,,,,,,,,
73,1,Спасибо ,2025-05-12 10:13:04.127,3876998,3.458,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:13:04.127,,,,,,,,
74,1,Спасибо большое! ,2025-05-12 10:13:09.704,3877186,4.439,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:13:09.704,,,,,,,,
75,1,Спасибо!,2025-05-12 10:13:14.082,3877315,3.17,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:13:14.082,,,,,,,,
76,1,К мастеру вопросов нет.  ,2025-05-12 10:13:20.001,3877334,3.884,3,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:13:20.001,,,,,,,,
77,1,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",2025-05-12 10:13:26.797,3877901,5.563,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:13:26.797,,,,,,,,
78,1,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",2025-05-12 10:13:34.201,3878088,6.375,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:13:34.201,,,,,,,,
79,1,спасибо большое! надолго ли🙄,2025-05-12 10:13:40.867,3878555,5.537,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:13:40.867,,,,,,,,
80,1,Огромное спасибо! ,2025-05-12 10:13:45.197,3878808,2.632,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:13:45.197,,,,,,,,
81,1,Всё очень четко организовано! Большое спасибо за работу!,2025-05-12 10:14:24.911,3879856,25.514,5,"[{""taxonomy"":[[""Вопрос решен""],[""Понравилось выполнение заявки""]]}]",2025-05-12 10:14:24.911,,,,,,,,
82,1,Спасибо Вам большое и за дверь и за номера квартир!,2025-05-12 10:14:32.556,3880345,6.252,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:14:32.556,,,,,,,,
83,1,снимаю звезду за первую отписку без выполнения работ,2025-05-12 10:15:05.540,3880717,31.943,3,"[{""taxonomy"":[[""Вопрос решен""],[""Не понравилось качество""]]}]",2025-05-12 10:15:05.540,,,,,,,,
84,1,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",2025-05-12 10:15:13.980,3881004,7.416,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:15:13.980,,,,,,,,
85,1,Спасибо!,2025-05-12 10:15:19.254,3881432,3.136,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:15:19.254,,,,,,,,
86,1,Спасибо! Все заработало ,2025-05-12 10:15:24.973,3881460,4.628,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]",2025-05-12 10:15:24.973,,,,,,,,
87,1,"спасибо, решили мой вопрос на месте в офисе ",2025-05-12 10:15:32.518,3881636,6.601,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Вопрос решен""]]}]",2025-05-12 10:15:32.518,,,,,,,,
88,1,"Спасибо больше Ольге Птушкине, за проделанную работу! ",2025-05-12 10:15:38.676,3882840,4.999,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:15:38.676,,,,,,,,
89,1,Спасибо ,2025-05-12 10:15:42.908,3883049,2.367,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:15:42.908,,,,,,,,
90,1,"всё сделали хорошо, починили вовремя. наверное, молодцы.",2025-05-12 10:15:50.671,3883200,6.613,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:15:50.671,,,,,,,,
91,1,Спасибо,2025-05-12 10:15:53.860,3883457,2.331,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:15:53.860,,,,,,,,
92,1,Супер! Спасибо!,2025-05-12 10:15:57.312,3883549,2.31,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:15:57.312,,,,,,,,
93,1,Отлично! Все выполнили как и обещали! ,2025-05-12 10:16:01.042,3883658,2.786,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:16:01.043,,,,,,,,
94,1,Очень оперативно. Спасибо большое ,2025-05-12 10:16:09.116,3883736,6.406,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится скорость отработки заявок""]]}]",2025-05-12 10:16:09.116,,,,,,,,
95,1,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",2025-05-12 10:16:21.041,3883745,11.025,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""],[""Нравится скорость отработки заявок""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:16:21.041,,,,,,,,
96,1,Спасибо,2025-05-12 10:16:24.775,3883823,2.931,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:16:24.775,,,,,,,,
97,1,спасибо,2025-05-12 10:16:28.803,3884514,3.04,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:16:28.803,,,,,,,,
98,1,Спасибо ,2025-05-12 10:16:33.105,3884705,3.191,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:16:33.105,,,,,,,,
99,1,Умело подкрутили редукторы давления. Молодец!,2025-05-12 10:16:41.020,3884964,6.734,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:16:41.020,,,,,,,,
100,1,"все хорошо,дверь практически бесшумно закрывается",2025-05-12 10:16:47.750,3885089,4.69,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:16:47.750,,,,,,,,
101,1,Спасибо ,2025-05-12 10:16:51.581,3885291,2.973,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:16:51.581,,,,,,,,
102,1,спасибо),2025-05-12 10:16:55.167,3885807,2.635,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:16:55.167,,,,,,,,
103,1,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",2025-05-12 10:17:06.150,3886150,10.022,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:17:06.150,,,,,,,,
104,1,"быстро, чётко, без проблем. одно слово - мастер! ",2025-05-12 10:17:12.731,3886231,4.156,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:17:12.731,,,,,,,,
105,1,Работает. Спасибо!,2025-05-12 10:17:16.248,3886721,2.472,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:17:16.248,,,,,,,,
106,1,"сегодня ездил, все исправно работает, спасибо!",2025-05-12 10:17:24.215,3886923,7.025,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:17:24.215,,,,,,,,
107,1,"Спасибо большое, всё понятно.",2025-05-12 10:17:27.973,3886937,2.721,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:17:27.973,,,,,,,,
108,1,Татьяна спасибо ❤️,2025-05-12 10:17:36.345,3887002,7.4,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:17:36.345,,,,,,,,
109,1,На вопрос ответили. Крепления нельзя повесить в колясочной,2025-05-12 10:17:56.836,3887203,14.481,5,"[{""taxonomy"":[[""Вопрос решен""],[""Нравится качество работы сотрудников""]]}]",2025-05-12 10:17:56.836,,,,,,,,
110,1,Большое спасибо!,2025-05-12 10:18:00.637,3887228,2.839,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:00.637,,,,,,,,
111,1,Лучший ,2025-05-12 10:18:05.805,3887353,2.326,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:05.805,,,,,,,,
112,1,спасибо за оперативность ,2025-05-12 10:18:09.483,3887358,2.637,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:18:09.483,,,,,,,,
113,1,спасибо ,2025-05-12 10:18:14.327,3887389,2.915,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:14.327,,,,,,,,
114,1,спасибо за то что быстро отреагировали,2025-05-12 10:18:18.888,3887392,3.234,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:18:18.888,,,,,,,,
115,1,"Сервис на высоте, мастер - профессионал",2025-05-12 10:18:25.946,3887422,5.808,5,"[{""taxonomy"":[[""Нравится качество выполнения заявки""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:18:25.946,,,,,,,,
116,1,спасибо,2025-05-12 10:18:29.734,3887496,2.76,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:29.734,,,,,,,,
117,1,спасибо большое,2025-05-12 10:18:33.287,3887525,2.658,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:33.287,,,,,,,,
118,1,ок ,2025-05-12 10:18:40.251,3887606,6.061,1,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:40.251,,,,,,,,
119,1,Надолго ли(,2025-05-12 10:18:44.475,3887614,3.196,2,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:44.475,,,,,,,,
120,1,Надолго ли(,2025-05-12 10:18:49.061,3887616,3.365,2,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:49.061,,,,,,,,
121,1,Спасибо. Все работает,2025-05-12 10:18:52.556,3887743,2.468,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:52.556,,,,,,,,
122,1,Спасибо большое!,2025-05-12 10:18:57.846,3887791,3.907,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:18:57.846,,,,,,,,
123,1,Спасибо!,2025-05-12 10:19:03.109,3887832,4.143,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:19:03.109,,,,,,,,
124,1,"заявка выполнена, спасибо.",2025-05-12 10:19:06.956,3887844,2.939,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:19:06.956,,,,,,,,
125,1,Дверь закрывается намного лучше.,2025-05-12 10:19:12.520,3887922,4.507,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:19:12.520,,,,,,,,
126,1,Спасибо за быстрое реагирование!!!,2025-05-12 10:19:17.710,3888009,3.523,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:19:17.710,,,,,,,,
127,1,"Оперативно сработали, благодарю.",2025-05-12 10:19:22.450,3888318,3.893,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Вопрос решен""]]}]",2025-05-12 10:19:22.450,,,,,,,,
128,1,спасибо большое,2025-05-12 10:19:26.924,3888320,3.401,5,"[{""taxonomy"":[[""Вопрос решен""]]}]",2025-05-12 10:19:26.924,,,,,,,,
129,1,"Спасибо сантехнику Алексею, все сделано качественно ",2025-05-12 10:19:33.432,3888354,5.06,5,"[{""taxonomy"":[[""Нравится качество работы сотрудников""],[""Вопрос решен""],[""Нравится качество выполнения заявки""]]}]",2025-05-12 10:19:33.432,,,,,,,,
130,1,"Огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! Все решилось наилучшим образом! Вот так бы все вопросы оперативно решались!!!",2025-05-12 10:19:42.482,3888539,7.895,5,"[{""taxonomy"":[[""Нравится скорость отработки заявок""],[""Нравится качество работы сотрудников""],[""Вопрос решен""]]}]",2025-05-12 10:19:42.482,,,,,,,,
